WormGEMid	GeneID1
C41D11.9	V3C99_003678
rps-19	V3C99_003679
hsr-9	V3C99_003680
C07D8.6	V3C99_003682
NNNNNN	V3C99_003684
C07D8.6	V3C99_003685
C07D8.6	V3C99_003686
C07D8.6	V3C99_003687
C07D8.6	V3C99_003688
C07D8.6	V3C99_003690
pen-2	V3C99_003691
gras-1	V3C99_003692
F30F8.9	V3C99_003694
F30F8.10	V3C99_003695
taf-5	V3C99_003696
apb-3	V3C99_003697
C41D11.9	V3C99_003698
rps-19	V3C99_003699
hsr-9	V3C99_003700
C07D8.6	V3C99_003702
C07D8.6	V3C99_003705
gras-1	V3C99_003706
F30F8.9	V3C99_003707
F30F8.10	V3C99_003708
NNNNNN	V3C99_003709
apb-3	V3C99_003710
taf-5	V3C99_003710
ceh-2	V3C99_003711
NNNNNN	V3C99_003712
grh-1	V3C99_003713
NNNNNN	V3C99_003714
herc-1	V3C99_003715
nsun-2	V3C99_003716
smg-2	V3C99_003717
NNNNNN	V3C99_003718
Y47G6A.21	V3C99_003720
Y47G6A.22	V3C99_003720
NNNNNN	V3C99_003733
snx-1	V3C99_003734
dhhc-2	V3C99_003736
NNNNNN	V3C99_003737
NNNNNN	V3C99_003738
F55D12.2	V3C99_003739
NNNNNN	V3C99_003740
nsf-1	V3C99_003742
imb-1	V3C99_003743
NNNNNN	V3C99_003745
NNNNNN	V3C99_003746
Y71G12B.17	V3C99_003750
copa-1	V3C99_003751
NNNNNN	V3C99_003756
psf-1	V3C99_003757
trak-1	V3C99_003758
dys-1	V3C99_003761
yop-1	V3C99_003762
hmp-2	V3C99_003763
K05C4.7	V3C99_003764
hint-1	V3C99_003766
NNNNNN	V3C99_003768
lin-35	V3C99_003770
vps-51	V3C99_003772
mtk-1	V3C99_003773
fce-1	V3C99_003774
rpl-10	V3C99_003775
NNNNNN	V3C99_003776
asic-1	V3C99_003782
NNNNNN	V3C99_003788
NNNNNN	V3C99_003789
NNNNNN	V3C99_003790
larp-5	V3C99_003791
pop-1	V3C99_003792
NNNNNN	V3C99_003794
Y73E7A.1	V3C99_003796
NNNNNN	V3C99_003798
mom-4	V3C99_003801
Y105C5A.24	V3C99_003801
ccep-97	V3C99_003802
Y105E8B.9	V3C99_003803
NNNNNN	V3C99_003809
NNNNNN	V3C99_003810
ift-20	V3C99_003811
cle-1	V3C99_003815
rpb-3	V3C99_003816
prp-4	V3C99_003817
C36B1.14	V3C99_003818
pas-4	V3C99_003823
rpb-3	V3C99_003825
prp-4	V3C99_003826
C36B1.14	V3C99_003827
ddx-52	V3C99_003828
cfi-1	V3C99_003833
lpd-5	V3C99_003835
ZK973.9	V3C99_003836
pdp-1	V3C99_003837
osm-5	V3C99_003842
src-1	V3C99_003845
afd-1	V3C99_003848
set-18	V3C99_003849
ztf-11	V3C99_003850
NNNNNN	V3C99_003851
mfsd-13.1	V3C99_003852
acl-11	V3C99_003853
cri-1	V3C99_003854
C16C2.4	V3C99_003855
ocrl-1	V3C99_003856
NNNNNN	V3C99_003857
his-1	V3C99_003858
his-5	V3C99_003858
his-10	V3C99_003858
his-14	V3C99_003858
his-18	V3C99_003858
his-26	V3C99_003858
his-28	V3C99_003858
his-31	V3C99_003858
his-37	V3C99_003858
his-38	V3C99_003858
his-46	V3C99_003858
his-50	V3C99_003858
his-56	V3C99_003858
his-60	V3C99_003858
his-64	V3C99_003858
his-67	V3C99_003858
his-4	V3C99_003859
his-8	V3C99_003859
his-11	V3C99_003859
his-15	V3C99_003859
his-20	V3C99_003859
his-22	V3C99_003859
his-29	V3C99_003859
his-34	V3C99_003859
his-39	V3C99_003859
his-41	V3C99_003859
his-44	V3C99_003859
his-48	V3C99_003859
his-52	V3C99_003859
his-54	V3C99_003859
his-58	V3C99_003859
his-62	V3C99_003859
his-66	V3C99_003859
his-3	V3C99_003860
his-7	V3C99_003860
his-12	V3C99_003860
his-16	V3C99_003860
his-19	V3C99_003860
his-21	V3C99_003860
his-30	V3C99_003860
his-33	V3C99_003860
his-35	V3C99_003860
his-43	V3C99_003860
his-47	V3C99_003860
his-51	V3C99_003860
his-53	V3C99_003860
his-57	V3C99_003860
his-61	V3C99_003860
his-65	V3C99_003860
his-68	V3C99_003860
his-4	V3C99_003861
his-8	V3C99_003861
his-11	V3C99_003861
his-15	V3C99_003861
his-20	V3C99_003861
his-22	V3C99_003861
his-29	V3C99_003861
his-34	V3C99_003861
his-39	V3C99_003861
his-41	V3C99_003861
his-44	V3C99_003861
his-48	V3C99_003861
his-52	V3C99_003861
his-54	V3C99_003861
his-58	V3C99_003861
his-62	V3C99_003861
his-66	V3C99_003861
eat-16	V3C99_003862
mcrs-1	V3C99_003863
atp-1	V3C99_003864
NNNNNN	V3C99_003865
gpc-2	V3C99_003876
gpc-2	V3C99_003878
apm-1	V3C99_003882
ahcy-1	V3C99_003883
teg-4	V3C99_003884
NNNNNN	V3C99_003885
cyc-1	V3C99_003886
eif-2beta	V3C99_003889
NNNNNN	V3C99_003890
C54G4.7	V3C99_003891
dod-18	V3C99_003892
rskn-2	V3C99_003893
F25B5.6	V3C99_003895
mec-8	V3C99_003896
C17E4.6	V3C99_003898
pabp-2	V3C99_003899
C17E4.11	V3C99_003900
hpo-27	V3C99_003902
eva-1	V3C99_003913
ept-1	V3C99_003914
gnrr-1	V3C99_003915
NNNNNN	V3C99_003916
cof-2	V3C99_003917
NNNNNN	V3C99_003922
ned-8	V3C99_003924
unc-73	V3C99_003925
NNNNNN	V3C99_003926
NNNNNN	V3C99_003932
NNNNNN	V3C99_003932
NNNNNN	V3C99_003932
NNNNNN	V3C99_003933
NNNNNN	V3C99_003933
ruvb-1	V3C99_003934
blos-9	V3C99_003935
hinf-1	V3C99_003936
uev-1	V3C99_003938
F39B2.3	V3C99_003939
rmh-1	V3C99_003940
D2005.3	V3C99_003942
NNNNNN	V3C99_003943
NNNNNN	V3C99_003944
NNNNNN	V3C99_003945
NNNNNN	V3C99_003945
NNNNNN	V3C99_003945
NNNNNN	V3C99_003945
Y66D12A.7	V3C99_003946
NNNNNN	V3C99_003953
NNNNNN	V3C99_003954
NNNNNN	V3C99_003954
NNNNNN	V3C99_003954
F22D6.2	V3C99_003955
NNNNNN	V3C99_003956
NNNNNN	V3C99_003958
NNNNNN	V3C99_003959
NNNNNN	V3C99_003960
F36A2.9	V3C99_003961
rps-15	V3C99_003962
NNNNNN	V3C99_003963
figo-1	V3C99_003965
lim-7	V3C99_003967
che-13	V3C99_003968
NNNNNN	V3C99_003969
F26A3.4	V3C99_003972
NNNNNN	V3C99_003974
acr-3	V3C99_003977
acr-2	V3C99_003978
drag-1	V3C99_003981
lrp-1	V3C99_003984
T06A4.1	V3C99_003985
tag-68	V3C99_003986
pash-1	V3C99_003987
NNNNNN	V3C99_003989
NNNNNN	V3C99_003989
NNNNNN	V3C99_003994
eif-3.E	V3C99_003996
ech-6	V3C99_004001
mrps-30	V3C99_004002
mppe-1	V3C99_004003
NNNNNN	V3C99_004005
NNNNNN	V3C99_004005
prhg-1	V3C99_004006
NNNNNN	V3C99_004010
prp-17	V3C99_004011
rpl-43	V3C99_004012
Y42H9AR.1	V3C99_004013
NNNNNN	V3C99_004014
mfb-1	V3C99_004017
paxt-1	V3C99_004023
R05D11.9	V3C99_004023
aptf-1	V3C99_004023
tmem-208	V3C99_004024
ran-4	V3C99_004025
Y73E7A.6	V3C99_004026
aatf-1	V3C99_004027
eif-6	V3C99_004028
prx-11	V3C99_004029
gale-1	V3C99_004030
efsc-1	V3C99_004031
C47B2.9	V3C99_004033
rpl-43	V3C99_004035
Y42H9AR.1	V3C99_004036
smu-1	V3C99_004037
pmr-1	V3C99_004038
maph-1.3	V3C99_004039
maph-1.2	V3C99_004039
maph-1.1	V3C99_004039
NNNNNN	V3C99_004040
pde-1	V3C99_004043
T15B7.1	V3C99_004046
T15B7.1	V3C99_004047
T15B7.1	V3C99_004048
T15B7.1	V3C99_004050
T15B7.1	V3C99_004051
T15B7.1	V3C99_004053
unc-63	V3C99_004054
NNNNNN	V3C99_004055
T15B7.1	V3C99_004056
T26E3.4	V3C99_004058
NNNNNN	V3C99_004059
Y53G8B.2	V3C99_004060
dgat-2	V3C99_004067
T15B7.1	V3C99_004068
par-6	V3C99_004072
T26E3.4	V3C99_004073
NNNNNN	V3C99_004076
ppk-1	V3C99_004077
F33H2.3	V3C99_004078
T19H12.2	V3C99_004078
mbd-2	V3C99_004079
sptf-2	V3C99_004080
NNNNNN	V3C99_004081
cdk-14	V3C99_004082
NNNNNN	V3C99_004087
NNNNNN	V3C99_004089
NNNNNN	V3C99_004089
NNNNNN	V3C99_004089
NNNNNN	V3C99_004089
NNNNNN	V3C99_004090
NNNNNN	V3C99_004090
NNNNNN	V3C99_004090
NNNNNN	V3C99_004090
NNNNNN	V3C99_004090
NNNNNN	V3C99_004090
F10G8.9	V3C99_004091
nubp-1	V3C99_004092
ZC434.4	V3C99_004093
rae-1	V3C99_004095
ncs-2	V3C99_004096
ercc-1	V3C99_004097
cyp-14A5	V3C99_004098
cyp-14A1	V3C99_004098
cyp-14A2	V3C99_004098
cyp-14A3	V3C99_004098
cyp-14A4	V3C99_004098
cyp-14A5	V3C99_004099
cyp-14A1	V3C99_004099
cyp-14A2	V3C99_004099
cyp-14A3	V3C99_004099
cyp-14A4	V3C99_004099
cyp-14A5	V3C99_004101
cyp-14A1	V3C99_004101
cyp-14A2	V3C99_004101
cyp-14A3	V3C99_004101
cyp-14A4	V3C99_004101
cyp-14A5	V3C99_004102
cyp-14A1	V3C99_004102
cyp-14A2	V3C99_004102
cyp-14A3	V3C99_004102
cyp-14A4	V3C99_004102
cyp-14A5	V3C99_004103
cyp-14A1	V3C99_004103
cyp-14A2	V3C99_004103
cyp-14A3	V3C99_004103
cyp-14A4	V3C99_004103
NNNNNN	V3C99_004104
NNNNNN	V3C99_004105
tent-5	V3C99_004106
moag-4	V3C99_004107
rpb-10	V3C99_004108
slx-1	V3C99_004109
npp-6	V3C99_004110
dhs-3	V3C99_004111
glo-1	V3C99_004114
Y92H12A.2	V3C99_004117
ints-3	V3C99_004118
NNNNNN	V3C99_004119
obr-4	V3C99_004120
NNNNNN	V3C99_004121
W02D3.12	V3C99_004122
T01G1.4	V3C99_004124
NNNNNN	V3C99_004127
exos-3	V3C99_004128
ndub-10	V3C99_004129
F59C6.12	V3C99_004130
mus-101	V3C99_004131
NNNNNN	V3C99_004132
hgo-1	V3C99_004133
eif-3.C	V3C99_004135
eif-3.C	V3C99_004136
NNNNNN	V3C99_004140
NNNNNN	V3C99_004143
NNNNNN	V3C99_004144
NNNNNN	V3C99_004145
tom-1	V3C99_004147
NNNNNN	V3C99_004148
NNNNNN	V3C99_004150
NNNNNN	V3C99_004151
NNNNNN	V3C99_004152
T15B7.1	V3C99_004156
NNNNNN	V3C99_004159
NNNNNN	V3C99_004160
lin-41	V3C99_004161
M04C9.3	V3C99_004162
dyf-5	V3C99_004163
ppfr-1	V3C99_004164
NNNNNN	V3C99_004165
calm-1	V3C99_004167
stl-1	V3C99_004168
F11C1.1	V3C99_004169
F42H10.2	V3C99_004169
F30A10.9	V3C99_004170
stn-1	V3C99_004171
F30A10.3	V3C99_004172
NNNNNN	V3C99_004173
pbrm-1	V3C99_004174
T28F4.4	V3C99_004175
T28F4.5	V3C99_004176
NNNNNN	V3C99_004177
crn-1	V3C99_004179
Y47G6A.9	V3C99_004180
spg-7	V3C99_004181
asic-2	V3C99_004183
Y47G6A.7	V3C99_004184
ppk-3	V3C99_004185
ZK524.4	V3C99_004188
lars-2	V3C99_004189
NNNNNN	V3C99_004190
NNNNNN	V3C99_004192
Y48G10A.3	V3C99_004193
ints-8	V3C99_004194
NNNNNN	V3C99_004196
unc-89	V3C99_004202
NNNNNN	V3C99_004203
unc-89	V3C99_004204
NNNNNN	V3C99_004207
NNNNNN	V3C99_004208
NNNNNN	V3C99_004211
NNNNNN	V3C99_004212
NNNNNN	V3C99_004213
T23G7.3	V3C99_004214
T23G7.2	V3C99_004215
T23G7.2	V3C99_004216
sec-5	V3C99_004217
F43G9.13	V3C99_004218
edc-3	V3C99_004219
snrp-27	V3C99_004220
pamn-1	V3C99_004221
NNNNNN	V3C99_004222
NNNNNN	V3C99_004222
chd-7	V3C99_004223
NNNNNN	V3C99_004225
NNNNNN	V3C99_004227
NNNNNN	V3C99_004227
NNNNNN	V3C99_004227
NNNNNN	V3C99_004227
F37F2.2	V3C99_004228
spe-15	V3C99_004229
NNNNNN	V3C99_004230
NNNNNN	V3C99_004231
NNNNNN	V3C99_004233
smgl-1	V3C99_004235
mdt-18	V3C99_004236
dbr-1	V3C99_004237
NNNNNN	V3C99_004238
NNNNNN	V3C99_004240
ced-1	V3C99_004241
cyp-34A1	V3C99_004243
cyp-34A2	V3C99_004243
cyp-34A5	V3C99_004243
cyp-34A6	V3C99_004243
cyp-34A7	V3C99_004243
cyp-34A8	V3C99_004243
cyp-34A9	V3C99_004243
cyp-34A10	V3C99_004243
NNNNNN	V3C99_004243
T15B7.1	V3C99_004244
T15B7.1	V3C99_004245
cyp-34A1	V3C99_004246
cyp-34A2	V3C99_004246
cyp-34A5	V3C99_004246
cyp-34A6	V3C99_004246
cyp-34A7	V3C99_004246
cyp-34A8	V3C99_004246
cyp-34A9	V3C99_004246
cyp-34A10	V3C99_004246
NNNNNN	V3C99_004246
F22G12.4	V3C99_004247
atm-1	V3C99_004249
sptf-1	V3C99_004251
ZC434.9	V3C99_004253
aph-2	V3C99_004257
ears-1	V3C99_004258
NNNNNN	V3C99_004259
C09D4.1	V3C99_004260
fkb-7	V3C99_004261
ndx-8	V3C99_004263
soem-1	V3C99_004264
Y65B4A.8	V3C99_004265
cus-2	V3C99_004266
NNNNNN	V3C99_004268
K07A3.3	V3C99_004273
mex-3	V3C99_004276
zhp-3	V3C99_004279
K02B12.7	V3C99_004280
tnsl-1	V3C99_004282
NNNNNN	V3C99_004283
NNNNNN	V3C99_004284
F21F3.4	V3C99_004285
kin-32	V3C99_004288
vha-16	V3C99_004289
fhod-1	V3C99_004290
NNNNNN	V3C99_004291
nekl-1	V3C99_004296
dot-1.1	V3C99_004299
dot-1.5	V3C99_004299
NNNNNN	V3C99_004302
NNNNNN	V3C99_004306
NNNNNN	V3C99_004309
T15B7.1	V3C99_004311
T15B7.1	V3C99_004312
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004313
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
NNNNNN	V3C99_004314
fld-1	V3C99_004315
dnj-29	V3C99_004316
NNNNNN	V3C99_004317
NNNNNN	V3C99_004319
NNNNNN	V3C99_004320
T23B12.6	V3C99_004321
NNNNNN	V3C99_004324
NNNNNN	V3C99_004326
NNNNNN	V3C99_004327
NNNNNN	V3C99_004328
F21F3.7	V3C99_004329
NNNNNN	V3C99_004330
NNNNNN	V3C99_004331
gpi-1	V3C99_004334
acl-1	V3C99_004335
rpl-31	V3C99_004337
sac-2	V3C99_004338
cox-4	V3C99_004339
ints-4	V3C99_004343
psf-2	V3C99_004345
fkb-2	V3C99_004346
NNNNNN	V3C99_004347
dpyd-1	V3C99_004348
smd-1	V3C99_004351
Y71A12C.2	V3C99_004352
NNNNNN	V3C99_004354
idhg-2	V3C99_004355
let-630	V3C99_004357
F32B5.1	V3C99_004358
W10C8.5	V3C99_004358
ctg-1	V3C99_004359
sem-4	V3C99_004361
ubql-1	V3C99_004362
pdi-3	V3C99_004363
chd-1	V3C99_004364
pam-1	V3C99_004366
NNNNNN	V3C99_004368
Y40B1B.7	V3C99_004368
exos-2	V3C99_004370
F29B9.1	V3C99_004372
NNNNNN	V3C99_004373
pas-3	V3C99_004374
use-1	V3C99_004375
apr-1	V3C99_004377
NNNNNN	V3C99_004379
NNNNNN	V3C99_004380
NNNNNN	V3C99_004382
gsr-1	V3C99_004385
sec-22	V3C99_004386
samp-1	V3C99_004390
ztf-4	V3C99_004391
NNNNNN	V3C99_004394
tag-96	V3C99_004397
scm-1	V3C99_004398
tub-2	V3C99_004399
NNNNNN	V3C99_004400
lsm-6	V3C99_004402
atg-5	V3C99_004404
ZK643.2	V3C99_004405
cdap-2	V3C99_004406
txl-1	V3C99_004406
cogc-1	V3C99_004407
NNNNNN	V3C99_004408
ncx-4	V3C99_004409
got-2.2	V3C99_004410
tipn-1	V3C99_004411
NNNNNN	V3C99_004412
edc-4	V3C99_004413
NNNNNN	V3C99_004414
rga-6	V3C99_004415
K04F10.2	V3C99_004416
mrpl-9	V3C99_004417
rpn-10	V3C99_004418
NNNNNN	V3C99_004419
sup-46	V3C99_004419
NNNNNN	V3C99_004420
T22C1.6	V3C99_004423
jph-1	V3C99_004424
ahr-1	V3C99_004428
fkh-10	V3C99_004434
fkh-10	V3C99_004435
NNNNNN	V3C99_004436
sod-2	V3C99_004437
sod-3	V3C99_004437
tag-296	V3C99_004438
F49D11.10	V3C99_004439
NNNNNN	V3C99_004440
bbs-9	V3C99_004442
C48B6.2	V3C99_004443
haps-1	V3C99_004444
smg-1	V3C99_004448
eya-1	V3C99_004450
NNNNNN	V3C99_004456
del-4	V3C99_004459
NNNNNN	V3C99_004460
mau-2	V3C99_004461
lin-10	V3C99_004462
NNNNNN	V3C99_004463
egl-30	V3C99_004466
rpl-27	V3C99_004468
C53H9.2	V3C99_004469
NNNNNN	V3C99_004470
chaf-2	V3C99_004471
Y106G6G.2	V3C99_004472
cup-2	V3C99_004473
rps-21	V3C99_004473
tag-353	V3C99_004474
rps-21	V3C99_004476
bag-1	V3C99_004477
NNNNNN	V3C99_004480
T15B7.1	V3C99_004482
T15B7.1	V3C99_004483
hum-7	V3C99_004484
vab-10	V3C99_004485
tax-2	V3C99_004486
C07H6.2	V3C99_004487
cku-80	V3C99_004488
rsa-1	V3C99_004489
NNNNNN	V3C99_004490
NNNNNN	V3C99_004491
ndua-13	V3C99_004492
ttc-1	V3C99_004493
lonp-1	V3C99_004494
spcs-1	V3C99_004495
F47G4.4	V3C99_004496
yars-1	V3C99_004497
avr-14	V3C99_004499
F39B2.8	V3C99_004500
dnj-12	V3C99_004501
NNNNNN	V3C99_004502
rps-26	V3C99_004503
NNNNNN	V3C99_004504
NNNNNN	V3C99_004505
mtx-1	V3C99_004507
che-14	V3C99_004508
ccpp-1	V3C99_004509
NNNNNN	V3C99_004512
cogc-5	V3C99_004513
mus-81	V3C99_004529
C43E11.9	V3C99_004530
cdc-6	V3C99_004531
scpl-3	V3C99_004532
Y47D9A.1	V3C99_004536
anc-1	V3C99_004537
trp-4	V3C99_004540
F26H9.5	V3C99_004541
nol-58	V3C99_004543
NNNNNN	V3C99_004544
NNNNNN	V3C99_004545
aph-1	V3C99_004546
tat-5	V3C99_004547
unc-11	V3C99_004548
C32E8.9	V3C99_004549
NNNNNN	V3C99_004550
maea-1	V3C99_004551
W09G3.8	V3C99_004552
W09G3.6	V3C99_004553
F45F2.9	V3C99_004554
pgrn-1	V3C99_004559
blmp-1	V3C99_004560
rha-1	V3C99_004562
smg-4	V3C99_004563
NNNNNN	V3C99_004571
T01G9.2	V3C99_004575
NNNNNN	V3C99_004576
kin-10	V3C99_004579
aat-2	V3C99_004581
mig-23	V3C99_004584
mig-15	V3C99_004585
lam-3	V3C99_004587
F38B6.6	V3C99_004588
NNNNNN	V3C99_004589
NNNNNN	V3C99_004589
NNNNNN	V3C99_004589
unc-78	V3C99_004594
ndub-7	V3C99_004594
aipl-1	V3C99_004594
NNNNNN	V3C99_004595
let-23	V3C99_004597
rpt-1	V3C99_004598
T09B4.8	V3C99_004601
dpt-1	V3C99_004603
haf-4	V3C99_004605
NNNNNN	V3C99_004619
NNNNNN	V3C99_004624
NNNNNN	V3C99_004625
NNNNNN	V3C99_004636
NNNNNN	V3C99_004636
dcp-66	V3C99_004638
T25G3.1	V3C99_004640
NNNNNN	V3C99_004648
ttbk-8.1	V3C99_004651
ttbk-8.2	V3C99_004651
haf-2	V3C99_004653
F52B5.3	V3C99_004655
NNNNNN	V3C99_004657
NNNNNN	V3C99_004658
NNNNNN	V3C99_004659
ints-2	V3C99_004663
atg-4.1	V3C99_004664
mrps-6	V3C99_004665
R12E2.11	V3C99_004666
thoc-3	V3C99_004667
NNNNNN	V3C99_004671
K05C4.2	V3C99_004672
pbs-5	V3C99_004673
mcm-10	V3C99_004674
zipt-1	V3C99_004675
fmp-27	V3C99_004676
NNNNNN	V3C99_004677
cyn-5	V3C99_004678
dus-2	V3C99_004679
gid-1	V3C99_004680
NNNNNN	V3C99_004681
F33H2.6	V3C99_004682
NNNNNN	V3C99_004683
aap-1	V3C99_004686
NNNNNN	V3C99_004687
unc-75	V3C99_004693
NNNNNN	V3C99_004695
lim-4	V3C99_004696
NNNNNN	V3C99_004699
unc-38	V3C99_004700
zfr-1	V3C99_004701
gldi-11	V3C99_004707
W04A8.1	V3C99_004711
set-29	V3C99_004716
Y92H12BR.7	V3C99_004718
C41D11.3	V3C99_004719
NNNNNN	V3C99_004720
NNNNNN	V3C99_004720
NNNNNN	V3C99_004720
nhr-69	V3C99_004723
nhr-49	V3C99_004726
K10C3.5	V3C99_004729
ensa-1	V3C99_004733
K10C3.5	V3C99_004735
NNNNNN	V3C99_004737
NNNNNN	V3C99_004738
T27F6.6	V3C99_004740
NNNNNN	V3C99_004741
NNNNNN	V3C99_004745
mek-2	V3C99_004746
nduf-5	V3C99_004752
Y71F9AR.2	V3C99_004754
gcsh-1	V3C99_004756
gcsh-2	V3C99_004756
xpa-1	V3C99_004757
mboa-1	V3C99_004758
NNNNNN	V3C99_004760
abts-1	V3C99_004763
NNNNNN	V3C99_004764
calu-2	V3C99_004765
NNNNNN	V3C99_004766
acox-1.6	V3C99_004769
ostd-1	V3C99_004771
NNNNNN	V3C99_004773
T27F6.6	V3C99_004774
NNNNNN	V3C99_004788
NNNNNN	V3C99_004800
NNNNNN	V3C99_004804
tyr-5	V3C99_004805
ama-1	V3C99_004806
msh-2	V3C99_004809
pgal-1	V3C99_004813
F02E9.10	V3C99_004814
NNNNNN	V3C99_004817
F02E9.10	V3C99_004819
tmem-189	V3C99_004821
Y92H12A.5	V3C99_004832
rla-0	V3C99_004833
tct-1	V3C99_004834
nra-2	V3C99_004836
lin-53	V3C99_004837
K07A1.10	V3C99_004838
ate-1	V3C99_004839
ile-1	V3C99_004840
fdps-1	V3C99_004842
wve-1	V3C99_004843
NNNNNN	V3C99_004844
NNNNNN	V3C99_004844
NNNNNN	V3C99_004844
NNNNNN	V3C99_004846
NNNNNN	V3C99_004846
NNNNNN	V3C99_004846
C01A2.4	V3C99_004847
NNNNNN	V3C99_004847
NNNNNN	V3C99_004847
NNNNNN	V3C99_004847
exo-3	V3C99_004848
tads-1	V3C99_004850
oxa-1	V3C99_004852
rskn-1	V3C99_004853
bro-1	V3C99_004856
sod-2	V3C99_004864
sod-3	V3C99_004864
kin-24	V3C99_004866
NNNNNN	V3C99_004873
rad-54.L	V3C99_004876
NNNNNN	V3C99_004885
NNNNNN	V3C99_004886
NNNNNN	V3C99_004891
mrpl-15	V3C99_004894
NNNNNN	V3C99_004895
memb-1	V3C99_004896
NNNNNN	V3C99_004897
shl-1	V3C99_004898
NNNNNN	V3C99_004899
NNNNNN	V3C99_004902
dnj-27	V3C99_004910
comt-2	V3C99_004911
comt-3	V3C99_004911
comt-4	V3C99_004911
comt-5	V3C99_004911
F16F9.4	V3C99_004912
NNNNNN	V3C99_004914
src-2	V3C99_004915
ero-1	V3C99_004916
NNNNNN	V3C99_004923
lev-11	V3C99_004924
sec-12	V3C99_004925
NNNNNN	V3C99_004930
unc-55	V3C99_004932
exc-4	V3C99_004933
ctnb-1	V3C99_004936
comt-2	V3C99_004941
comt-3	V3C99_004941
comt-4	V3C99_004941
comt-5	V3C99_004941
dnj-27	V3C99_004942
NNNNNN	V3C99_004943
eif-2Bbeta	V3C99_004944
pars-2	V3C99_004945
natc-3	V3C99_004946
cyb-1	V3C99_004947
cyb-2.1	V3C99_004947
cyb-2.2	V3C99_004947
pdk-1	V3C99_004949
mtm-10	V3C99_004950
csk-1	V3C99_004951
sesn-1	V3C99_004952
F26H9.2	V3C99_004953
nmat-2	V3C99_004953
rab-5	V3C99_004954
NNNNNN	V3C99_004959
F55F10.1	V3C99_004965
K07A1.15	V3C99_004966
lrk-1	V3C99_004967
pyk-1	V3C99_004974
eef-2	V3C99_004975
clsp-1	V3C99_004976
mrpl-54	V3C99_004977
NNNNNN	V3C99_004978
vps-20	V3C99_004980
vbh-1	V3C99_004981
NNNNNN	V3C99_004983
NNNNNN	V3C99_004984
gpap-1	V3C99_004985
Y6B3B.9	V3C99_004986
NNNNNN	V3C99_004987
NNNNNN	V3C99_004988
ekl-4	V3C99_004990
rps-20	V3C99_004991
C55A6.1	V3C99_004992
Y105E8A.14	V3C99_004992
NNNNNN	V3C99_004993
ceh-17	V3C99_004994
mvb-12	V3C99_004995
dhhc-11	V3C99_005000
lron-8	V3C99_005002
erm-1	V3C99_005003
mrps-15	V3C99_005004
ptr-10	V3C99_005005
his-4	V3C99_005008
his-8	V3C99_005008
his-11	V3C99_005008
his-15	V3C99_005008
his-20	V3C99_005008
his-22	V3C99_005008
his-29	V3C99_005008
his-34	V3C99_005008
his-39	V3C99_005008
his-41	V3C99_005008
his-44	V3C99_005008
his-48	V3C99_005008
his-52	V3C99_005008
his-54	V3C99_005008
his-58	V3C99_005008
his-62	V3C99_005008
his-66	V3C99_005008
ife-1	V3C99_005009
ife-2	V3C99_005009
ife-5	V3C99_005009
NNNNNN	V3C99_005011
NNNNNN	V3C99_005012
mrrf-1	V3C99_005013
pbs-4	V3C99_005014
unc-57	V3C99_005017
vacl-14	V3C99_005018
glr-5	V3C99_005019
NNNNNN	V3C99_005022
NNNNNN	V3C99_005027
ceh-8	V3C99_005028
fitm-2	V3C99_005029
zipt-2.1	V3C99_005032
zipt-2.2	V3C99_005032
nfki-1	V3C99_005033
C16A3.5	V3C99_005034
kel-20	V3C99_005035
Y74C10AL.2	V3C99_005036
abtm-1	V3C99_005037
D1007.15	V3C99_005038
NNNNNN	V3C99_005041
asd-2	V3C99_005043
sdpn-1	V3C99_005047
NNNNNN	V3C99_005048
T10B11.5	V3C99_005049
T10B11.6	V3C99_005050
F18C12.3	V3C99_005052
pcbd-1	V3C99_005053
rege-1	V3C99_005054
C30F12.2	V3C99_005055
marc-6	V3C99_005056
znf-706	V3C99_005058
xrn-2	V3C99_005059
pept-3	V3C99_005060
npp-7	V3C99_005063
NNNNNN	V3C99_005064
NNNNNN	V3C99_005067
prp-31	V3C99_005070
ari-1.3	V3C99_005071
ari-1.2	V3C99_005071
ari-1.1	V3C99_005071
NNNNNN	V3C99_005073
syf-2	V3C99_005074
kin-1	V3C99_005075
neto-1	V3C99_005079
NNNNNN	V3C99_005080
aprt-1	V3C99_005082
unc-40	V3C99_005086
npp-7	V3C99_005087
msh-2	V3C99_005089
NNNNNN	V3C99_005090
immt-1	V3C99_005094
ser-7	V3C99_005095
NNNNNN	V3C99_005096
trpp-8	V3C99_005100
vha-10	V3C99_005101
ubl-5	V3C99_005102
cerk-1	V3C99_005103
C53D5.5	V3C99_005104
C53D5.1	V3C99_005105
NNNNNN	V3C99_005107
NNNNNN	V3C99_005107
NNNNNN	V3C99_005109
NNNNNN	V3C99_005110
ssb-1	V3C99_005111
gly-13	V3C99_005112
gly-14	V3C99_005112
kin-24	V3C99_005113
slc-36.4	V3C99_005117
slc-36.3	V3C99_005117
NNNNNN	V3C99_005126
