	WormGEMid	GeneID1
6418	comt-4	V3C99_004941
6419	comt-5	V3C99_004941
6420	dnj-27	V3C99_004942
6422	NNNNNN	V3C99_004943
6424	eif-2Bbeta	V3C99_004944
6425	pars-2	V3C99_004945
6426	natc-3	V3C99_004946
6427	cyb-1	V3C99_004947
6428	cyb-2.1	V3C99_004947
6429	cyb-2.2	V3C99_004947
6430	pdk-1	V3C99_004949
6431	mtm-10	V3C99_004950
6432	csk-1	V3C99_004951
6434	sesn-1	V3C99_004952
6435	F26H9.2	V3C99_004953
6436	nmat-2	V3C99_004953
6438	rab-5	V3C99_004954
6469	NNNNNN	V3C99_004959
6471	F55F10.1	V3C99_004965
6472	K07A1.15	V3C99_004966
6473	lrk-1	V3C99_004967
6480	pyk-1	V3C99_004974
6481	eef-2	V3C99_004975
6482	clsp-1	V3C99_004976
6483	mrpl-54	V3C99_004977
6484	NNNNNN	V3C99_004978
6485	vps-20	V3C99_004980
6486	vbh-1	V3C99_004981
6487	NNNNNN	V3C99_004983
6488	NNNNNN	V3C99_004984
6489	gpap-1	V3C99_004985
6490	Y6B3B.9	V3C99_004986
6491	NNNNNN	V3C99_004987
6492	NNNNNN	V3C99_004988
6494	ekl-4	V3C99_004990
6495	rps-20	V3C99_004991
6496	C55A6.1	V3C99_004992
6497	Y105E8A.14	V3C99_004992
6501	NNNNNN	V3C99_004993
6502	ceh-17	V3C99_004994
6503	mvb-12	V3C99_004995
6507	dhhc-11	V3C99_005000
6508	lron-8	V3C99_005002
6509	erm-1	V3C99_005003
6510	mrps-15	V3C99_005004
6511	ptr-10	V3C99_005005
6512	his-4	V3C99_005008
6513	his-8	V3C99_005008
6514	his-11	V3C99_005008
6515	his-15	V3C99_005008
6516	his-20	V3C99_005008
6517	his-22	V3C99_005008
6518	his-29	V3C99_005008
6519	his-34	V3C99_005008
6520	his-39	V3C99_005008
6521	his-41	V3C99_005008
6522	his-44	V3C99_005008
6523	his-48	V3C99_005008
6524	his-52	V3C99_005008
6525	his-54	V3C99_005008
6526	his-58	V3C99_005008
6527	his-62	V3C99_005008
6528	his-66	V3C99_005008
6529	ife-1	V3C99_005009
6530	ife-2	V3C99_005009
6531	ife-5	V3C99_005009
6532	NNNNNN	V3C99_005011
6533	NNNNNN	V3C99_005012
6534	mrrf-1	V3C99_005013
6535	pbs-4	V3C99_005014
6536	unc-57	V3C99_005017
6538	vacl-14	V3C99_005018
6539	glr-5	V3C99_005019
6543	NNNNNN	V3C99_005022
6544	NNNNNN	V3C99_005027
6545	ceh-8	V3C99_005028
6546	fitm-2	V3C99_005029
6547	zipt-2.1	V3C99_005032
6548	zipt-2.2	V3C99_005032
6549	nfki-1	V3C99_005033
6550	C16A3.5	V3C99_005034
6551	kel-20	V3C99_005035
6552	Y74C10AL.2	V3C99_005036
6553	abtm-1	V3C99_005037
6554	D1007.15	V3C99_005038
6556	NNNNNN	V3C99_005041
6557	asd-2	V3C99_005043
6565	sdpn-1	V3C99_005047
6566	NNNNNN	V3C99_005048
6567	T10B11.5	V3C99_005049
6569	T10B11.6	V3C99_005050
6570	F18C12.3	V3C99_005052
6571	pcbd-1	V3C99_005053
6572	rege-1	V3C99_005054
6573	C30F12.2	V3C99_005055
6574	marc-6	V3C99_005056
6575	znf-706	V3C99_005058
6577	xrn-2	V3C99_005059
6579	pept-3	V3C99_005060
6580	npp-7	V3C99_005063
6581	NNNNNN	V3C99_005064
6588	NNNNNN	V3C99_005067
6589	prp-31	V3C99_005070
6592	ari-1.3	V3C99_005071
6593	ari-1.2	V3C99_005071
6594	ari-1.1	V3C99_005071
6595	NNNNNN	V3C99_005073
6596	syf-2	V3C99_005074
6597	kin-1	V3C99_005075
6599	neto-1	V3C99_005079
6600	NNNNNN	V3C99_005080
6602	aprt-1	V3C99_005082
6603	unc-40	V3C99_005086
6604	npp-7	V3C99_005087
6605	msh-2	V3C99_005089
6606	NNNNNN	V3C99_005090
6623	immt-1	V3C99_005094
6624	ser-7	V3C99_005095
6625	NNNNNN	V3C99_005096
6626	trpp-8	V3C99_005100
6627	vha-10	V3C99_005101
6628	ubl-5	V3C99_005102
6629	cerk-1	V3C99_005103
6630	C53D5.5	V3C99_005104
6631	C53D5.1	V3C99_005105
6636	NNNNNN	V3C99_005107
6637	NNNNNN	V3C99_005107
6639	NNNNNN	V3C99_005109
6640	NNNNNN	V3C99_005110
6641	ssb-1	V3C99_005111
6643	gly-13	V3C99_005112
6644	gly-14	V3C99_005112
6645	kin-24	V3C99_005113
6646	slc-36.4	V3C99_005117
6647	slc-36.3	V3C99_005117
6651	NNNNNN	V3C99_005126
6659	unc-79	V3C99_005131
6660	bro-1	V3C99_005132
6661	pycr-1	V3C99_005133
6662	hbs-1	V3C99_005135
6664	casc-3	V3C99_005141
6665	rpl-14	V3C99_005142
6666	ile-1	V3C99_005145
6667	ate-1	V3C99_005146
6668	csn-6	V3C99_005147
6669	K07A1.10	V3C99_005148
6670	lin-53	V3C99_005149
6671	nra-2	V3C99_005150
6676	mag-1	V3C99_005159
6677	ubc-12	V3C99_005160
6678	acbp-1	V3C99_005162
6679	ints-6	V3C99_005166
6687	NNNNNN	V3C99_005179
6690	NNNNNN	V3C99_005183
6693	tct-1	V3C99_005185
6694	rla-0	V3C99_005186
6695	Y92H12A.5	V3C99_005187
6726	dyb-1	V3C99_005190
6727	nmtn-1	V3C99_005192
6728	rga-2	V3C99_005194
6729	cas-1	V3C99_005198
6739	NNNNNN	V3C99_005211
6740	NNNNNN	V3C99_005211
6742	F16A11.1	V3C99_005215
6743	rtcb-1	V3C99_005216
6744	M01E5.2	V3C99_005217
6745	M01E5.4	V3C99_005218
6758	NNNNNN	V3C99_005223
6759	NNNNNN	V3C99_005224
6760	NNNNNN	V3C99_005227
6766	ctnb-1	V3C99_005235
6767	chk-2	V3C99_005236
6768	chkr-1	V3C99_005236
6769	NNNNNN	V3C99_005236
6774	NNNNNN	V3C99_005240
6775	NNNNNN	V3C99_005241
6776	NNNNNN	V3C99_005241
6777	NNNNNN	V3C99_005241
6778	NNNNNN	V3C99_005242
6779	NNNNNN	V3C99_005242
6780	NNNNNN	V3C99_005242
6781	NNNNNN	V3C99_005243
6782	NNNNNN	V3C99_005243
6783	NNNNNN	V3C99_005243
6785	hxk-1	V3C99_005245
6786	rpoa-2	V3C99_005246
6792	NNNNNN	V3C99_005253
6793	memb-1	V3C99_005256
6795	NNNNNN	V3C99_005260
6796	mib-1	V3C99_005261
6797	NNNNNN	V3C99_005262
6798	NNNNNN	V3C99_005263
6800	NNNNNN	V3C99_005264
6802	NNNNNN	V3C99_005267
6803	lev-11	V3C99_005268
6804	sec-12	V3C99_005269
6836	NNNNNN	V3C99_005273
6837	Y48A6B.3	V3C99_005276
6838	dao-5	V3C99_005277
6839	NNNNNN	V3C99_005279
6840	cln-3.1	V3C99_005282
6845	strl-1	V3C99_005284
6846	lagr-1	V3C99_005288
6847	NNNNNN	V3C99_005289
6848	NNNNNN	V3C99_005290
6849	pigl-1	V3C99_005291
6850	rsr-1	V3C99_005292
6851	F16F9.4	V3C99_005298
6852	F16F9.4	V3C99_005299
6853	NNNNNN	V3C99_005300
6854	src-2	V3C99_005303
6855	ero-1	V3C99_005304
6856	dyf-1	V3C99_005308
6860	NNNNNN	V3C99_005312
6862	NNNNNN	V3C99_005313
6863	NNNNNN	V3C99_005313
6865	mcm-4	V3C99_005318
6869	NNNNNN	V3C99_005325
6870	snt-4	V3C99_005328
6871	drh-3	V3C99_005329
6872	cic-1	V3C99_005331
6874	T15B7.1	V3C99_005332
6875	ttx-3	V3C99_005333
6876	T09B4.4	V3C99_005334
6877	T23G11.4	V3C99_005335
6878	rlbp-1	V3C99_005336
6879	lron-9	V3C99_005337
6880	T23G11.7	V3C99_005338
6881	golg-5	V3C99_005339
6882	sptf-3	V3C99_005340
6883	ola-1	V3C99_005341
6884	snr-2	V3C99_005344
6887	trmt-6	V3C99_005350
6888	ZK858.6	V3C99_005351
6889	ZK858.5	V3C99_005352
6891	oct-1	V3C99_005356
6893	ndx-1	V3C99_005358
6894	NNNNNN	V3C99_005359
6895	mig-1	V3C99_005360
6898	sym-2	V3C99_005362
6900	mcm-4	V3C99_005366
6901	eif-2gamma	V3C99_005367
6903	tbca-1	V3C99_005368
6904	sacy-1	V3C99_005369
6905	glh-1	V3C99_005370
6906	glh-2	V3C99_005370
6907	glh-3	V3C99_005370
6908	dpf-3	V3C99_005371
6909	C37A2.8	V3C99_005372
6910	NNNNNN	V3C99_005373
6911	NNNNNN	V3C99_005374
6912	NNNNNN	V3C99_005376
6913	snpc-3.1	V3C99_005385
6914	snpc-3.2	V3C99_005385
6916	drh-3	V3C99_005387
6919	snt-4	V3C99_005390
6920	cah-6	V3C99_005391
6921	cpd-1	V3C99_005393
6922	T23D8.3	V3C99_005394
6923	NNNNNN	V3C99_005397
6924	mboa-7	V3C99_005399
6926	serr-1	V3C99_005401
6928	zipt-11	V3C99_005414
6929	mrpl-24	V3C99_005415
6930	Y105E8A.2	V3C99_005416
6931	slc-30A5	V3C99_005417
6932	NNNNNN	V3C99_005421
6933	goa-1	V3C99_005422
6934	NNNNNN	V3C99_005423
6935	NNNNNN	V3C99_005424
6938	cdd-2	V3C99_005426
6940	wdr-12	V3C99_005429
6941	cir-1	V3C99_005430
6942	lron-11	V3C99_005431
6945	tln-1	V3C99_005435
6946	tre-1	V3C99_005437
6947	dad-1	V3C99_005438
6948	NNNNNN	V3C99_005439
6949	spg-20	V3C99_005440
6950	F57B10.8	V3C99_005441
6951	NNNNNN	V3C99_005442
6952	NNNNNN	V3C99_005443
6953	NNNNNN	V3C99_005444
6954	spr-5	V3C99_005445
6955	lsd-1	V3C99_005445
6956	eif-3.J	V3C99_005446
6957	slc-25A46	V3C99_005447
6958	pcyt-1	V3C99_005448
6960	tns-1	V3C99_005453
6961	NNNNNN	V3C99_005455
6962	dyf-11	V3C99_005456
6976	NNNNNN	V3C99_005457
6979	NNNNNN	V3C99_005457
6993	apg-1	V3C99_005458
6994	NNNNNN	V3C99_005459
6995	NNNNNN	V3C99_005460
6998	tol-1	V3C99_005464
6999	rab-10	V3C99_005465
7000	NNNNNN	V3C99_005466
7002	hpo-13	V3C99_005471
7003	Y105E8A.11	V3C99_005471
7018	NNNNNN	V3C99_005473
7036	irx-1	V3C99_005478
7037	NNNNNN	V3C99_005479
7069	NNNNNN	V3C99_005486
7071	NNNNNN	V3C99_005489
7072	NNNNNN	V3C99_005491
7073	pfd-3	V3C99_005495
7075	W02A11.1	V3C99_005498
7076	vps-25	V3C99_005498
7077	usp-3	V3C99_005499
7078	rps-6	V3C99_005500
7079	Y48G10A.1	V3C99_005504
7080	gap-3	V3C99_005505
7081	NNNNNN	V3C99_005506
7082	crtc-1	V3C99_005507
7084	rpl-20	V3C99_005509
7113	NNNNNN	V3C99_005515
7114	rnf-145	V3C99_005516
7115	mrpl-19	V3C99_005517
7116	tyr-4	V3C99_005520
7117	NNNNNN	V3C99_005522
7146	bbs-1	V3C99_005526
7153	frk-1	V3C99_005529
7154	NNNNNN	V3C99_005530
7155	NNNNNN	V3C99_005530
7156	NNNNNN	V3C99_005530
7187	K04F10.7	V3C99_005533
7188	F25B5.3	V3C99_005535
7189	F49B2.6	V3C99_005539
7190	rsy-1	V3C99_005541
7191	NNNNNN	V3C99_005542
7192	maco-1	V3C99_005543
7193	acr-6	V3C99_005545
7194	NNNNNN	V3C99_005548
7196	M04F3.5	V3C99_005549
7197	NNNNNN	V3C99_005551
7198	NNNNNN	V3C99_005551
7199	NNNNNN	V3C99_005556
7202	pnk-1	V3C99_005559
7203	zhit-1	V3C99_005560
7204	cox-5B	V3C99_005561
7223	NNNNNN	V3C99_005563
7224	let-611	V3C99_005564
7225	lpd-2	V3C99_005565
7227	cebp-2	V3C99_005566
7228	NNNNNN	V3C99_005567
7229	frm-1	V3C99_005569
7230	T28F2.2	V3C99_005571
7231	msh-6	V3C99_005572
7234	hxk-2	V3C99_005576
7235	cdk-9	V3C99_005577
7238	Y54E5A.5	V3C99_005580
7239	gsa-1	V3C99_005581
7240	vps-4	V3C99_005582
7241	NNNNNN	V3C99_005583
7242	NNNNNN	V3C99_005584
7243	glrx-10	V3C99_005586
7246	glrx-10	V3C99_005591
7247	mrpl-38	V3C99_005593
7252	NNNNNN	V3C99_005602
7253	Y105E8A.1	V3C99_005603
7254	C47B2.2	V3C99_005604
7255	NNNNNN	V3C99_005607
7256	rpn-12	V3C99_005608
7307	W02D3.4	V3C99_005611
7308	lbp-5	V3C99_005615
7309	lbp-6	V3C99_005615
7310	lbp-7	V3C99_005615
7312	R04B3.2	V3C99_005617
7313	phip-1	V3C99_005618
7314	phip-1	V3C99_005619
7315	cids-2	V3C99_005620
7316	F36A2.2	V3C99_005621
7317	pbs-7	V3C99_005622
7318	rpn-8	V3C99_005624
7321	cfh-1	V3C99_005627
7325	exoc-8	V3C99_005633
7326	C06A5.3	V3C99_005634
7329	NNNNNN	V3C99_005636
7330	NNNNNN	V3C99_005637
7331	ZK909.3	V3C99_005639
7335	NNNNNN	V3C99_005642
7342	NNNNNN	V3C99_005645
7344	C55A6.3	V3C99_005646
7345	C55A6.4	V3C99_005646
7346	sdz-8	V3C99_005646
7347	C55A6.6	V3C99_005646
7348	C55A6.7	V3C99_005646
7349	F20G2.1	V3C99_005646
7354	kel-10	V3C99_005647
7355	F47D12.7	V3C99_005647
7356	R119.2	V3C99_005648
7357	NNNNNN	V3C99_005649
7358	pqn-59	V3C99_005650
7359	taf-4	V3C99_005651
7360	R119.5	V3C99_005652
7361	rab-8	V3C99_005655
7362	ace-2	V3C99_005657
7363	F10D11.6	V3C99_005658
7364	tbcd-1	V3C99_005659
7365	unc-14	V3C99_005661
7367	F32B4.5	V3C99_005663
7368	abhd-11.2	V3C99_005664
7369	NNNNNN	V3C99_005665
7370	riok-1	V3C99_005666
7371	nhr-64	V3C99_005667
7380	fer-1	V3C99_005668
7381	rskn-1	V3C99_005669
7382	che-3	V3C99_005672
7383	stam-1	V3C99_005673
7384	timm-23	V3C99_005674
7385	csb-1	V3C99_005675
7387	F53H4.6	V3C99_005675
7388	F15D3.6	V3C99_005676
7389	metl-17	V3C99_005677
7392	pbs-2	V3C99_005679
7393	NNNNNN	V3C99_005680
7394	R06C7.6	V3C99_005681
7395	adsl-1	V3C99_005682
7396	madd-4	V3C99_005689
7397	NNNNNN	V3C99_005690
7399	T08G11.1	V3C99_005698
7400	NNNNNN	V3C99_005700
7401	aex-6	V3C99_005701
7402	C32F10.8	V3C99_005702
7403	C32F10.8	V3C99_005703
7404	twk-47	V3C99_005704
7405	unc-37	V3C99_005705
7406	NNNNNN	V3C99_005706
7407	cytb-5.2	V3C99_005707
7408	T05E7.3	V3C99_005708
7411	NNNNNN	V3C99_005709
7419	hsp-16.41	V3C99_005714
7420	hsp-16.48	V3C99_005714
7421	hsp-16.49	V3C99_005714
7428	hsp-16.41	V3C99_005716
7429	hsp-16.48	V3C99_005716
7430	hsp-16.49	V3C99_005716
7439	hsp-16.41	V3C99_005724
7440	hsp-16.48	V3C99_005724
7441	hsp-16.49	V3C99_005724
7447	hsp-16.41	V3C99_005726
7448	hsp-16.48	V3C99_005726
7449	hsp-16.49	V3C99_005726
7455	NNNNNN	V3C99_005728
7459	NNNNNN	V3C99_005732
7460	NNNNNN	V3C99_005732
7461	arl-13	V3C99_005733
7462	rla-1	V3C99_005734
7463	Y37E3.8	V3C99_005735
7464	phb-1	V3C99_005736
7465	eif-2alpha	V3C99_005737
7466	NNNNNN	V3C99_005738
7467	NNNNNN	V3C99_005738
7468	NNNNNN	V3C99_005738
7469	NNNNNN	V3C99_005738
7470	NNNNNN	V3C99_005738
7471	NNNNNN	V3C99_005738
7472	NNNNNN	V3C99_005738
7473	NNNNNN	V3C99_005738
7474	NNNNNN	V3C99_005738
7475	NNNNNN	V3C99_005738
7476	NNNNNN	V3C99_005738
7477	NNNNNN	V3C99_005738
7478	NNNNNN	V3C99_005738
7479	NNNNNN	V3C99_005738
7480	NNNNNN	V3C99_005738
7481	NNNNNN	V3C99_005738
7482	NNNNNN	V3C99_005738
7483	NNNNNN	V3C99_005738
7484	NNNNNN	V3C99_005738
7485	NNNNNN	V3C99_005738
7486	NNNNNN	V3C99_005738
7487	NNNNNN	V3C99_005738
7488	NNNNNN	V3C99_005738
7489	NNNNNN	V3C99_005738
7490	NNNNNN	V3C99_005738
7491	NNNNNN	V3C99_005738
7492	NNNNNN	V3C99_005738
7493	NNNNNN	V3C99_005738
7494	NNNNNN	V3C99_005738
7495	NNNNNN	V3C99_005738
7496	NNNNNN	V3C99_005738
7501	NNNNNN	V3C99_005738
7502	NNNNNN	V3C99_005738
7503	NNNNNN	V3C99_005738
7504	NNNNNN	V3C99_005738
7505	NNNNNN	V3C99_005738
7508	NNNNNN	V3C99_005739
7509	NNNNNN	V3C99_005739
7510	NNNNNN	V3C99_005739
7511	NNNNNN	V3C99_005739
7512	NNNNNN	V3C99_005739
7513	NNNNNN	V3C99_005739
7514	NNNNNN	V3C99_005739
7515	NNNNNN	V3C99_005739
7516	NNNNNN	V3C99_005739
7517	NNNNNN	V3C99_005739
7518	NNNNNN	V3C99_005739
7519	NNNNNN	V3C99_005739
7520	NNNNNN	V3C99_005739
7521	NNNNNN	V3C99_005739
7522	NNNNNN	V3C99_005739
7523	NNNNNN	V3C99_005739
7524	NNNNNN	V3C99_005739
7525	NNNNNN	V3C99_005739
7526	NNNNNN	V3C99_005739
7527	NNNNNN	V3C99_005739
7528	NNNNNN	V3C99_005739
7529	NNNNNN	V3C99_005739
7530	NNNNNN	V3C99_005739
7531	NNNNNN	V3C99_005739
7532	NNNNNN	V3C99_005739
7533	NNNNNN	V3C99_005739
7534	NNNNNN	V3C99_005739
7535	NNNNNN	V3C99_005739
7536	NNNNNN	V3C99_005739
7537	NNNNNN	V3C99_005739
7538	NNNNNN	V3C99_005739
7543	NNNNNN	V3C99_005739
7544	NNNNNN	V3C99_005739
7545	NNNNNN	V3C99_005739
7546	NNNNNN	V3C99_005739
7547	NNNNNN	V3C99_005739
7550	NNNNNN	V3C99_005740
7551	mlcd-1	V3C99_005741
7553	NNNNNN	V3C99_005743
7554	NNNNNN	V3C99_005744
7555	NNNNNN	V3C99_005744
7556	NNNNNN	V3C99_005744
7557	NNNNNN	V3C99_005744
7558	NNNNNN	V3C99_005744
7559	NNNNNN	V3C99_005744
7560	NNNNNN	V3C99_005744
7561	NNNNNN	V3C99_005744
7562	NNNNNN	V3C99_005744
7563	NNNNNN	V3C99_005744
7564	NNNNNN	V3C99_005744
7565	NNNNNN	V3C99_005744
7566	NNNNNN	V3C99_005744
7567	NNNNNN	V3C99_005744
7568	NNNNNN	V3C99_005744
7569	NNNNNN	V3C99_005744
7570	NNNNNN	V3C99_005744
7571	NNNNNN	V3C99_005744
7572	NNNNNN	V3C99_005744
7573	NNNNNN	V3C99_005744
7574	NNNNNN	V3C99_005744
7575	NNNNNN	V3C99_005744
7576	NNNNNN	V3C99_005744
7577	NNNNNN	V3C99_005744
7578	NNNNNN	V3C99_005744
7579	NNNNNN	V3C99_005744
7580	NNNNNN	V3C99_005744
7581	NNNNNN	V3C99_005744
7582	NNNNNN	V3C99_005744
7583	NNNNNN	V3C99_005744
7584	NNNNNN	V3C99_005744
7589	NNNNNN	V3C99_005744
7590	NNNNNN	V3C99_005744
7591	NNNNNN	V3C99_005744
7592	NNNNNN	V3C99_005744
7593	NNNNNN	V3C99_005744
7596	pyr-1	V3C99_005746
7599	NNNNNN	V3C99_005749
7601	NNNNNN	V3C99_005751
7602	Y71F9B.9	V3C99_005752
7605	NNNNNN	V3C99_005754
7709	NNNNNN	V3C99_005762
7710	NNNNNN	V3C99_005762
7711	NNNNNN	V3C99_005764
7712	NNNNNN	V3C99_005767
7713	NNNNNN	V3C99_005768
7714	dnj-4	V3C99_005769
7772	csn-2	V3C99_005773
7773	B0025.4	V3C99_005774
7774	vps-34	V3C99_005775
7775	NNNNNN	V3C99_005776
7776	NNNNNN	V3C99_005776
7777	rbmx-2	V3C99_005778
7780	ego-2	V3C99_005780
7782	myrf-1	V3C99_005782
7783	pdi-6	V3C99_005783
7784	F53F10.8	V3C99_005784
7785	icmt-1	V3C99_005786
7786	M01E11.1	V3C99_005786
7787	NNNNNN	V3C99_005787
7788	lmn-1	V3C99_005788
7790	C04F12.8	V3C99_005790
7791	NNNNNN	V3C99_005791
7792	mctp-1	V3C99_005792
7793	lfe-2	V3C99_005794
7794	aex-3	V3C99_005795
7795	gopc-1	V3C99_005796
7796	NNNNNN	V3C99_005797
7797	NNNNNN	V3C99_005797
7798	F33H2.2	V3C99_005798
7799	pat-10	V3C99_005800
7800	gtl-2	V3C99_005801
7801	cdc-73	V3C99_005802
7805	hsp-16.41	V3C99_005804
7806	hsp-16.48	V3C99_005804
7807	hsp-16.49	V3C99_005804
7810	NNNNNN	V3C99_005806
7811	NNNNNN	V3C99_005807
7812	pigc-1	V3C99_005808
7813	NNNNNN	V3C99_005809
7814	NNNNNN	V3C99_005810
7815	mab-20	V3C99_005812
7816	NNNNNN	V3C99_005813
7817	F07A5.4	V3C99_005815
7818	NNNNNN	V3C99_005816
7819	unc-15	V3C99_005817
7820	C27F2.10	V3C99_005820
7821	trpp-10	V3C99_005821
7822	hex-4	V3C99_005822
7823	Y51F10.4	V3C99_005823
7824	NNNNNN	V3C99_005827
7826	aex-3	V3C99_005831
7827	ech-1.1	V3C99_005832
7828	ech-1.2	V3C99_005832
7831	suro-1	V3C99_005834
7832	NNNNNN	V3C99_005836
7833	B0511.7	V3C99_005839
7834	cpx-1	V3C99_005839
7835	dnc-6	V3C99_005840
7839	npp-12	V3C99_005844
7840	Y54E10A.11	V3C99_005845
7842	NNNNNN	V3C99_005847
7844	acp-2	V3C99_005848
7847	crn-7	V3C99_005849
7848	F13G3.10	V3C99_005850
7849	dhc-1	V3C99_005851
7866	dom-3	V3C99_005856
7868	W01A8.8	V3C99_005863
7869	W01A8.2	V3C99_005864
7870	NNNNNN	V3C99_005865
7871	NNNNNN	V3C99_005870
7902	usp-14	V3C99_005874
7903	NNNNNN	V3C99_005877
7904	gld-2	V3C99_005879
7905	NNNNNN	V3C99_005880
7906	NNNNNN	V3C99_005880
7907	NNNNNN	V3C99_005880
7908	NNNNNN	V3C99_005880
7909	NNNNNN	V3C99_005880
7912	NNNNNN	V3C99_005880
7913	NNNNNN	V3C99_005880
7914	NNNNNN	V3C99_005880
7918	NNNNNN	V3C99_005880
7986	Y69F12A.1	V3C99_005885
7988	pcp-2	V3C99_005887
7989	pcp-3	V3C99_005887
7992	iars-2	V3C99_005890
7993	NNNNNN	V3C99_005891
7994	nola-3	V3C99_005892
7995	fath-1	V3C99_005893
7996	ceh-12	V3C99_005895
7997	W09C5.1	V3C99_005896
7998	unc-59	V3C99_005897
7999	NNNNNN	V3C99_005898
8001	NNNNNN	V3C99_005898
8003	NNNNNN	V3C99_005900
8004	wts-1	V3C99_005901
8011	lin-59	V3C99_005912
8012	pck-2	V3C99_005913
8014	Y92H12BL.1	V3C99_005914
8015	Y92H12BL.5	V3C99_005914
8020	gly-2	V3C99_005916
8021	lem-3	V3C99_005917
8023	NNNNNN	V3C99_005919
8029	Y69F12A.1	V3C99_005921
8035	Y69F12A.1	V3C99_005922
8038	ZK970.8	V3C99_005924
8039	ZK970.8	V3C99_005925
8040	kal-1	V3C99_005926
8229	NNNNNN	V3C99_005976
8230	NNNNNN	V3C99_005976
8232	cdk-7	V3C99_005977
8233	T19A6.1	V3C99_005978
8234	ser-5	V3C99_005979
8235	nepr-1	V3C99_005980
8236	ngp-1	V3C99_005981
8237	NNNNNN	V3C99_005983
8238	NNNNNN	V3C99_005983
8239	NNNNNN	V3C99_005983
8242	ntr-1	V3C99_005987
8354	mod-5	V3C99_006008
8355	Y54E10BR.2	V3C99_006010
8356	pde-6	V3C99_006014
8358	NNNNNN	V3C99_006015
8360	ben-1	V3C99_006017
8361	tbb-1	V3C99_006017
8362	tbb-2	V3C99_006017
8364	pdpr-1	V3C99_006019
8365	NNNNNN	V3C99_006020
8366	B0205.4	V3C99_006021
8367	hprt-1	V3C99_006030
8368	riok-2	V3C99_006031
8369	NNNNNN	V3C99_006032
8370	NNNNNN	V3C99_006033
8371	sur-6	V3C99_006034
8381	amx-2	V3C99_006043
8382	pigo-1	V3C99_006044
8384	tres-1	V3C99_006046
8385	rpoa-49	V3C99_006047
8386	nfyc-1	V3C99_006048
8387	vps-28	V3C99_006049
8388	eipr-1	V3C99_006050
8389	Y87G2A.13	V3C99_006051
8390	agef-1	V3C99_006052
8391	mat-1	V3C99_006054
8392	oaz-1	V3C99_006055
8393	Y54E10BR.4	V3C99_006056
8394	rnf-126	V3C99_006057
8395	sec-11	V3C99_006058
8396	rpb-7	V3C99_006059
8397	amx-2	V3C99_006060
8399	NNNNNN	V3C99_006069
8400	sem-2	V3C99_006070
8401	NNNNNN	V3C99_006075
8402	NNNNNN	V3C99_006076
8404	NNNNNN	V3C99_006078
8406	NNNNNN	V3C99_006079
8407	rpl-7	V3C99_006080
8408	rab-11.1	V3C99_006081
8413	NNNNNN	V3C99_006082
8414	gcy-28	V3C99_006084
8430	ZC328.3	V3C99_006090
8431	rps-7	V3C99_006094
8432	NNNNNN	V3C99_006097
8433	rig-5	V3C99_006100
8434	NNNNNN	V3C99_006102
8435	dlk-1	V3C99_006103
8436	otub-2	V3C99_006104
8438	NNNNNN	V3C99_006106
8439	NNNNNN	V3C99_006107
8440	asah-1	V3C99_006110
8442	pgp-2	V3C99_006117
8443	czw-1	V3C99_006119
8448	gly-16	V3C99_006121
8449	gly-17	V3C99_006121
8450	gly-18	V3C99_006121
8451	gly-19	V3C99_006121
8452	ath-1	V3C99_006122
8457	pign-1	V3C99_006125
8458	arx-7	V3C99_006126
8460	coq-4	V3C99_006127
8462	F13G3.6	V3C99_006128
8463	ttx-7	V3C99_006129
8464	dylt-1	V3C99_006130
8467	hrpr-1	V3C99_006134
8469	lin-44	V3C99_006144
8470	NNNNNN	V3C99_006145
8471	NNNNNN	V3C99_006148
8472	NNNNNN	V3C99_006149
8473	NNNNNN	V3C99_006150
8474	acr-11	V3C99_006154
8476	F54C1.1	V3C99_006158
8477	NNNNNN	V3C99_006159
8478	NNNNNN	V3C99_006159
8479	NNNNNN	V3C99_006159
8480	D1007.4	V3C99_006161
8482	tmem-39	V3C99_006162
8483	rps-10	V3C99_006163
8484	rpl-24.1	V3C99_006164
8487	NNNNNN	V3C99_006167
8489	NNNNNN	V3C99_006168
8490	ddo-1	V3C99_006169
8491	NNNNNN	V3C99_006169
8492	ubc-16	V3C99_006170
8493	let-49	V3C99_006171
8494	nrd-1	V3C99_006172
8495	NNNNNN	V3C99_006173
8502	chp-1	V3C99_006178
8503	NNNNNN	V3C99_006180
8504	NNNNNN	V3C99_006180
8506	cku-70	V3C99_006183
8507	pola-1	V3C99_006184
8508	cln-3.2	V3C99_006185
8526	eif-1	V3C99_006191
8527	pigb-1	V3C99_006192
8528	rps-17	V3C99_006193
8529	C48E7.6	V3C99_006194
8530	NNNNNN	V3C99_006195
8531	vps-45	V3C99_006196
8532	cogc-6	V3C99_006197
8533	pole-1	V3C99_006198
8534	Y55F3BR.1	V3C99_006202
8535	NNNNNN	V3C99_006204
8536	pigv-1	V3C99_006206
8597	gcy-28	V3C99_006213
8598	K02F3.12	V3C99_006214
8602	F45H10.2	V3C99_006220
8603	R07E4.3	V3C99_006220
8604	ndua-7	V3C99_006221
8606	unc-29	V3C99_006222
8609	unc-29	V3C99_006223
8612	NNNNNN	V3C99_006224
8614	NNNNNN	V3C99_006225
8616	unc-29	V3C99_006226
8619	unc-29	V3C99_006227
8623	tgs-1	V3C99_006232
